i,tag,rp_cov8,rp_cov30,rp_longest,rp_nspans8,ex_cov8,ex_cov30,ex_longest,ex_nspans8,tok_n,tok_cov4,tok_cov8,tok_cov16,tok_cov24,tok_longest,tok_nspans4,harvest_frac,speedup
38,RESEARCH_SUMMARY_TEXT,0.6575,0.0123,30,82,0.6745,0.0122,30,84,487,0.0801,0.0,0.0,0.0,6,9,0.0226,0.88
39,RESEARCH_SUMMARY_TEXT,0.9067,0.2617,84,51,0.7903,0.0529,38,111,530,0.3547,0.1453,0.0,0.0,12,26,0.1698,0.832
40,RESEARCH_SUMMARY_TEXT,0.8427,0.0802,45,101,0.8831,0.0881,45,76,836,0.195,0.0323,0.0,0.0,9,28,0.0778,0.857
41,RESEARCH_SUMMARY_TEXT,0.8258,0.0628,59,76,0.8223,0.0633,59,75,541,0.1571,0.0481,0.0,0.0,10,15,0.0702,0.874
42,RESEARCH_SUMMARY_TEXT,0.9238,0.502,118,75,0.846,0.1601,54,66,942,0.534,0.2994,0.1338,0.0,20,50,0.3259,0.992
43,RESEARCH_SUMMARY_TEXT,0.8679,0.2439,87,60,0.8874,0.3241,90,49,461,0.2473,0.0672,0.0,0.0,14,19,0.1171,0.79
44,RESEARCH_SUMMARY_TEXT,0.76,0.0685,96,74,0.787,0.0889,96,56,594,0.2104,0.0236,0.0,0.0,14,25,0.0791,0.81
45,RESEARCH_SUMMARY_TEXT,0.8956,0.3699,140,47,0.8715,0.2844,95,40,434,0.3871,0.2143,0.0876,0.0,22,21,0.2235,0.87
46,RESEARCH_SUMMARY_TEXT,0.8109,0.1435,45,54,0.8034,0.1441,45,58,429,0.2448,0.0559,0.0,0.0,8,19,0.1026,0.533
47,RESEARCH_SUMMARY_TEXT,0.4122,0.0456,30,39,0.3972,0.0504,35,37,816,0.4877,0.2279,0.0502,0.0,22,51,0.2733,1.073
48,RESEARCH_SUMMARY_TEXT,0.8173,0.095,50,102,0.8246,0.0734,54,95,712,0.1222,0.0,0.0,0.0,7,18,0.0463,0.699
49,RESEARCH_SUMMARY_TEXT,0.8383,0.0942,79,48,0.8871,0.1287,79,35,278,0.1655,0.0719,0.0,0.0,12,5,0.0827,0.8
50,RESEARCH_SUMMARY_TEXT,0.8561,0.1579,46,33,0.8732,0.1603,46,31,297,0.303,0.1582,0.0572,0.0,17,12,0.1751,0.712
51,RESEARCH_SUMMARY_TEXT,0.8141,0.2553,87,43,0.8204,0.1633,87,34,297,0.266,0.1212,0.0572,0.0,17,13,0.1347,1.148
52,RESEARCH_SUMMARY_TEXT,0.7201,0.0975,105,94,0.7604,0.1244,105,90,619,0.1292,0.0355,0.0,0.0,14,14,0.0598,0.801
53,RESEARCH_SUMMARY_TEXT,0.8587,0.1107,79,57,0.8587,0.1107,79,57,483,0.2526,0.0414,0.0,0.0,10,23,0.0952,0.622
